Kod,S,Saat,Home,Away,1,0,2,Altı,Üstü
835,T,11:00,ANDERSON K.,TROICKI V.,1.50,,1.85,,
836,T,11:00,EDMUND K.,FERRER D.,2.05,,1.40,,
839,T,11:00,SOUSA J.,CUEVAS P.,1.60,,1.75,,
401,F,12:00,PENDİKSPOR,GENÇLERBİRLİĞİ,,,,,
402,F,13:00,AMED SPORTİF,KEÇİÖRENGÜCÜ,,,,,
403,F,14:00,24ERZİNCANSPOR,YENİ MALATYASPOR,,,,,
404,F,14:00,BANDIRMASPOR,SANCAKTEPE BLD.SPOR,,,,,
405,F,14:00,KIZILCABÖLÜKSPOR,KOCAELİ BİRLİKSPOR,,,,,
706,V,14:00,BEŞİKTAŞ,ZİRAAT BANKASI,,,,,
776,B,15:10,ENISEY KRASNOYARSK,BÜYÜKÇEKMECE BASKETBOL,1.70,,1.70,,
406,F,16:30,ELAZIĞSPOR,OFSPOR,,,,,
407,F,17:15,PANTHRAKIKOS,KALLITHEA,1.50,3.30,4.30,,
408,F,17:15,GAZİANTEPSPOR,DÜZYURTSPOR,,,,,
409,F,17:30,PACOS FERREIRA,NACIONAL MADEIRA,1.90,3.00,2.90,,
410,F,19:00,RİZESPOR,FETHİYESPOR,,,,,
777,B,19:00,NEPTUNAS,VARESE,1.70,,1.70,1.70,1.70
778,B,19:00,PAOK,UŞAK SPORTİF,1.70,,1.70,1.70,1.70
779,B,19:00,VENTSPILS,RADOM,1.70,,1.70,1.70,1.70
780,B,19:00,UNICS KAZAN,DARÜŞŞAFAKA DOĞUŞ,1.70,,1.70,1.70,1.70
850,B,19:00,UNICS KAZAN,DARÜŞŞAFAKA DOĞUŞ,1.55,12.00,2.10,,
860,B,19:00,UŞAK SPORTİF (778),(784) VILLEURBANNE,1.70,,1.70,1.70,1.70
411,F,19:30,DYNAMO DRESDEN,ARMINIA BIELEFELD,1.70,3.10,3.50,1.60,1.75
412,F,19:30,FREIBURG,SANDHAUSEN,1.40,3.50,5.00,1.65,1.70
413,F,19:30,SPORTFREUNDE LOTTE,B.LEVERKUSEN,8.00,4.30,1.20,2.30,1.30
414,F,19:30,WURZBURGER KICKERS,1860 MÜNİH,1.90,3.00,2.90,1.50,1.85
415,F,19:30,AEK,KERKYRA,1.10,5.50,10.00,,
416,F,19:30,ARSENAL (447),(412) FREIBURG,1.70,4.25,2.60,,
417,F,19:30,B.LEVERKUSEN (413),(457) PSV EINDHOVEN,2.15,4.25,2.00,,
418,F,19:45,LAVAL,MONTPELLIER,2.70,2.80,2.10,1.45,1.95
419,F,20:00,WIENER NEUSTADT,ADMIRA WACKER,3.20,3.20,1.75,,
420,F,20:00,ORGRYTE,FREJ,1.60,3.30,3.60,,
781,B,20:00,GORNICZA,TORUN,1.70,,1.70,1.70,1.70
421,F,21:00,DEN HAAG,TELSTAR,1.30,3.75,6.25,,
422,F,21:00,VOLENDAM,ALMERE CITY,1.85,3.20,2.90,,
423,F,21:00,GALATASARAY,DERSİMSPOR,,,,,
782,B,21:00,MACCABI RISHON,CSM ORADEA,1.70,,1.70,1.70,1.70
783,B,21:00,MEGA VIZURA,CIBONA,1.70,,1.70,1.70,1.70
784,B,21:00,OLDENBURG,VILLEURBANNE,1.70,,1.70,1.70,1.70
785,B,21:00,ANADOLU EFES,CSKA MOSKOVA,1.70,,1.70,1.70,1.70
786,B,21:00,OLYMPIAKOS,O.MILANO,1.70,,1.70,1.70,1.70
851,B,21:00,ANADOLU EFES,CSKA MOSKOVA,3.05,13.00,1.25,,
861,B,21:00,ANADOLU EFES (785),(790) VITORIA,1.70,,1.70,1.70,1.70
424,F,21:30,LOKEREN,OOSTENDE,2.20,2.90,2.50,1.75,1.60
425,F,21:30,ASCOLI PICCHIO,SALERNITANA,2.20,2.70,2.70,1.50,1.85
426,F,21:30,AVELLINO,TERNANA,1.85,2.80,3.30,1.35,2.15
427,F,21:30,BRESCIA,VICENZA,1.90,2.90,3.00,1.40,2.05
428,F,21:30,CESENA,VIRTUS ENTELLA,1.75,3.00,3.40,1.45,1.95
429,F,21:30,FROSINONE,SPAL 2013,1.85,2.90,3.20,1.45,1.95
430,F,21:30,NOVARA,BARI,1.85,2.90,3.20,1.50,1.85
431,F,21:30,PERUGIA,CARPI,2.00,2.80,2.90,1.45,1.95
432,F,21:30,PISA,VERONA,3.50,3.10,1.70,1.50,1.85
433,F,21:30,PRO VERCELLI,LATINA,1.85,2.90,3.20,1.45,1.95
434,F,21:30,TRAPANI,BENEVENTO,2.00,2.90,2.80,1.50,1.85
787,B,21:30,CHARLEROI,AEK,1.70,,1.70,1.70,1.70
788,B,21:30,LE MANS,KHIMIK YUZHNY,1.70,,1.70,1.70,1.70
789,B,21:30,VENEZIA,KARŞIYAKA,1.70,,1.70,1.70,1.70
435,F,21:45,BROMLEY,DOVER ATHLETIC,3.00,3.10,1.85,,
436,F,21:45,DAGENHAM & RED,ALDERSHOT,1.65,3.30,3.40,,
437,F,21:45,EASTLEIGH,TORQUAY,1.45,3.40,4.60,,
438,F,21:45,GUISELEY,GATESHEAD,3.00,3.20,1.80,,
439,F,21:45,LINCOLN,BOREHAM WOOD,1.60,3.30,3.60,,
440,F,21:45,MACCLESFIELD,CHESTER,2.00,3.00,2.70,,
441,F,21:45,SOLIHULL MOORS,FOREST GREEN,6.25,3.75,1.30,,
442,F,21:45,SOUTHPORT,YORK,2.10,2.90,2.60,,
443,F,21:45,SUTTON UTD,MAIDSTONE UTD,1.60,3.30,3.60,,
444,F,21:45,TRANMERE,NORTH FERRIBY UTD,1.10,5.50,10.00,,
445,F,21:45,WOKING,BRAINTREE,1.85,3.10,3.00,,
446,F,21:45,WREXHAM,BARROW,2.20,2.90,2.50,,
447,F,21:45,ARSENAL,READING,1.15,4.75,9.00,2.30,1.30
448,F,21:45,BRISTOL CITY,HULL,2.00,3.20,2.60,1.65,1.70
449,F,21:45,LEEDS UTD,NORWICH,2.40,3.00,2.20,1.60,1.75
450,F,21:45,LIVERPOOL,TOTTENHAM,1.55,3.50,3.75,1.80,1.55
451,F,21:45,NEWCASTLE UTD,PRESTON,1.35,3.60,5.50,1.70,1.65
452,F,21:45,NEWPORT COUNTY,BARNET,2.20,2.90,2.50,1.60,1.75
453,F,21:45,E.FRANKFURT,INGOLSTADT,1.85,3.10,3.00,1.55,1.80
454,F,21:45,M'GLADBACH,STUTTGART,1.45,3.40,4.60,2.30,1.30
455,F,21:45,HALLESCHER,HAMBURG,3.60,3.30,1.60,1.70,1.65
456,F,21:45,ST PAULI,HERTHA BERLİN,3.10,3.10,1.80,1.60,1.75
457,F,21:45,SPARTA ROTTERDAM,PSV EINDHOVEN,7.00,4.00,1.25,,
458,F,21:45,ST PATRICKS,DUNDALK,2.80,3.20,1.90,1.70,1.65
459,F,21:45,GENOA,AC MILAN,2.50,2.90,2.20,1.65,1.70
460,F,21:45,LECH POZNAN,WISLA KRAKOW,1.70,3.10,3.50,1.70,1.65
461,F,21:45,HAMILTON,ABERDEEN,5.00,3.50,1.40,1.70,1.65
462,F,21:45,LECH POZNAN (460),(451) NEWCASTLE UTD,2.30,3.50,2.10,,
463,F,21:45,LIVERPOOL (450),(454) M'GLADBACH,2.40,3.75,1.90,,
464,F,21:45,AC MILAN (459),(450) TOTTENHAM,2.00,3.20,2.55,,
465,F,22:00,NANTES,ANGERS,1.85,3.00,3.10,1.40,2.05
790,B,22:00,REAL MADRID,VITORIA,1.70,,1.70,1.70,1.70
466,F,00:15,OESTE,LUVERDENSE,1.80,3.10,3.10,,
467,F,02:00,AUDAX ITALIANO,SL QUILLOTA,1.70,3.10,3.50,,
468,F,02:30,GOIAS,REGATAS,1.60,3.20,3.75,,
