Kod,S,Saat,Home,Away,1,0,2,Altı,Üstü
596,F,11:50,MELBOURNE CITY,ADELAIDE UTD,1.55,3.30,4.00,,
826,T,12:00,KARLOVIC I.,KHACHANOV K.,1.40,,2.05,,
828,T,14:00,RADWANSKA A.,PLISKOVA KA.,1.25,,2.50,,
651,B,16:00,MAMAK BLD ANKARA DSİ,PERTEVNİYAL,1.70,,1.70,,
148,F,19:00,SILKEBORG,ODENSE,2.10,2.90,2.60,1.80,1.55
149,F,19:00,PIAST GLIWICE,NIECIECZA,2.00,2.90,2.80,1.60,1.75
652,B,19:00,LUBLIN,CZARNI SLUPSK,1.70,,1.70,1.70,1.70
150,F,19:30,1860 MÜNİH,AUE,1.90,3.00,2.90,1.60,1.75
151,F,19:30,ARMINIA BIELEFELD,SANDHAUSEN,2.20,2.90,2.50,1.50,1.85
152,F,19:30,DYNAMO DRESDEN,BRAUNSCHWEIG,2.40,3.00,2.20,1.70,1.65
153,F,19:30,1860 MÜNİH (150),(151) ARMINIA BIELEFELD,2.30,3.20,2.20,,
653,B,19:30,TUROW ZGORZELEC,GORNICZA,1.70,,1.70,1.70,1.70
101,F,20:00,GENÇLERBİRLİĞİ,BEŞİKTAŞ,3.10,3.20,1.75,1.80,1.55
154,F,20:00,AALEN,ZWICKAU,1.65,3.20,3.60,1.50,1.85
155,F,20:00,BEŞİKTAŞ (101),(103) PARIS ST GERMAIN,2.25,3.60,2.10,,
654,B,20:00,BAYREUTH,ALBA BERLİN,1.70,,1.70,1.70,1.70
791,B,20:00,BAMBERG (967),(964) GALATASARAY,1.70,,1.70,1.70,1.70
792,B,20:00,BARCELONA (967),(964) FENERBAHÇE,1.70,,1.70,1.70,1.70
964,B,20:00,GALATASARAY,FENERBAHÇE,1.70,,1.70,1.70,1.70
965,B,20:00,ZALGIRIS,MACCABI TEL AVIV,1.70,,1.70,1.70,1.70
969,B,20:00,GALATASARAY,FENERBAHÇE,3.00,13.00,1.25,,
970,B,20:00,ZALGIRIS,MACCABI TEL AVIV,1.75,12.00,1.85,,
156,F,21:00,AJACCIO,LAVAL,1.90,2.80,3.20,1.30,2.30
157,F,21:00,BOURG PERONNAS,GFCO AJACCIO,2.60,2.60,2.30,1.35,2.15
158,F,21:00,ORLEANS,TROYES,2.20,2.80,2.60,1.45,1.95
159,F,21:00,RED STAR PARIS,TOURS,1.95,2.90,2.90,1.45,1.95
160,F,21:00,REIMS,LE HAVRE,2.10,2.80,2.70,1.45,1.95
161,F,21:00,VALENCIENNES,NIMES,2.10,2.70,2.80,1.55,1.80
162,F,21:00,ACHILLES 29,DE GRAAFSCHAP,4.30,3.60,1.45,,
163,F,21:00,ALMERE CITY,HELMOND SPORT,1.50,3.60,4.00,,
164,F,21:00,DEN BOSCH,UTRECHT (II),1.60,3.30,3.60,,
165,F,21:00,MAASTRICHT,VOLENDAM,1.85,3.20,2.90,,
166,F,21:00,OSS,BREDA,4.60,3.75,1.40,,
167,F,21:00,TELSTAR,PSV (B),2.00,3.20,2.60,,
168,F,21:00,TWENTE,RODA,1.40,3.75,4.60,1.95,1.45
169,F,21:00,BENFICA,PACOS FERREIRA,1.02,7.00,16.00,2.15,1.35
655,B,21:00,KRKA,ZADAR,1.70,,1.70,,
170,F,21:15,NORDSJAELLAND,VIBORG,2.00,3.00,2.70,1.70,1.65
171,F,21:15,UNION COMERCIO,CESAR VALLEJO,2.00,3.00,2.70,,
966,B,21:15,PANATHINAIKOS,KIZIL YILDIZ,1.70,,1.70,1.70,1.70
102,F,21:30,M'GLADBACH,E.FRANKFURT,1.65,3.30,3.40,1.85,1.50
172,F,21:30,KORONA KIELCE,LEGIA VARŞOVA,4.60,3.40,1.45,1.70,1.65
656,B,21:30,HYERES TOULON,LE MANS,1.70,,1.70,1.70,1.70
657,B,21:30,PARIS LEVALLOIS,CHALONS REIMS,1.70,,1.70,1.70,1.70
658,B,21:30,CASTELLO,CACERES,1.70,,1.70,,
103,F,21:45,LILLE,PARIS ST GERMAIN,5.00,3.50,1.40,1.75,1.60
104,F,21:45,LEGANES,REAL SOCIEDAD,2.40,2.90,2.30,1.50,1.85
173,F,21:45,QPR,BRENTFORD,2.30,3.00,2.30,1.55,1.80
174,F,21:45,DROGHEDA,COBH RAMBLERS,1.55,3.50,3.75,,
175,F,21:45,BRAY WANDERERS,CORK CITY,2.30,3.20,2.20,,
176,F,21:45,DUNDALK,GALWAY,1.45,3.40,4.60,,
177,F,21:45,FINN HARPS,BOHEMIAN,2.60,3.20,2.00,,
178,F,21:45,SLIGO ROVERS,WEXFORD,1.30,3.75,6.25,,
179,F,21:45,ST PATRICKS,DERRY CITY,2.20,3.20,2.30,,
659,B,22:00,GIPUZKOA,BURGOS,1.70,,1.70,,
660,B,22:00,MELILLA,CALZADOS ROBUSTA,1.70,,1.70,,
967,B,22:00,BARCELONA,BAMBERG,1.70,,1.70,1.70,1.70
180,F,23:00,NACIONAL MADEIRA,SPORTING LİZBON,7.00,4.00,1.25,1.80,1.55
181,F,23:30,COMERCIANTES UNIDOS,UNIV DE CAJAMARCA,1.80,3.10,3.10,,
